url_path,views_total,views_unique
/awslabs/aws-security-analytics-bootstrap,177,67
/awslabs/aws-security-analytics-bootstrap/pulls,51,3
/awslabs/aws-security-analytics-bootstrap/issues,32,4
/awslabs/aws-security-analytics-bootstrap/tree/main/AWSSecurityAnalyticsBootstrap/amazon_security_lake_queries,22,16
/awslabs/aws-security-analytics-bootstrap/blob/main/AWSSecurityAnalyticsBootstrap/sql/dml/analytics/cloudtrail/cloudtrail_demo_queries.sql,22,15
/awslabs/aws-security-analytics-bootstrap/tree/main/AWSSecurityAnalyticsBootstrap,20,15
/awslabs/aws-security-analytics-bootstrap/blob/main/AWSSecurityAnalyticsBootstrap/cfn/Athena_infra_setup.yml,20,11
/awslabs/aws-security-analytics-bootstrap/forks,16,2
/awslabs/aws-security-analytics-bootstrap/tree/main,13,10
/awslabs/aws-security-analytics-bootstrap/blob/main/AWSSecurityAnalyticsBootstrap/amazon_security_lake_queries/ocsf/amazon_security_lake_queries_vpcflow.md,11,5
