time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-29 00:00:00+00:00,17,5,83,16
2023-09-30 00:00:00+00:00,3,3,19,4
2023-10-01 00:00:00+00:00,3,3,12,4
2023-10-02 00:00:00+00:00,4,4,40,19
2023-10-03 00:00:00+00:00,3,3,80,17
2023-10-04 00:00:00+00:00,14,4,69,18
2023-10-05 00:00:00+00:00,4,4,107,31
2023-10-06 00:00:00+00:00,4,4,108,20
2023-10-07 00:00:00+00:00,4,4,18,7
2023-10-08 00:00:00+00:00,3,3,11,6
2023-10-09 00:00:00+00:00,5,5,67,21
2023-10-10 00:00:00+00:00,6,5,183,16
2023-10-11 00:00:00+00:00,3,3,129,17
2023-10-12 00:00:00+00:00,2,2,88,16
