time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-10 00:00:00+00:00,6,5,141,25
2024-04-11 00:00:00+00:00,5,4,86,21
2024-04-12 00:00:00+00:00,4,4,79,19
2024-04-13 00:00:00+00:00,3,3,78,6
2024-04-14 00:00:00+00:00,4,4,20,7
2024-04-15 00:00:00+00:00,6,4,74,20
2024-04-16 00:00:00+00:00,6,5,60,27
2024-04-17 00:00:00+00:00,11,5,57,18
2024-04-18 00:00:00+00:00,10,7,60,14
2024-04-19 00:00:00+00:00,4,4,51,15
2024-04-20 00:00:00+00:00,5,5,13,5
2024-04-21 00:00:00+00:00,8,5,111,9
2024-04-22 00:00:00+00:00,4,4,155,24
2024-04-23 00:00:00+00:00,2,2,41,11
