url_path,views_total,views_unique
/awslabs/aws-security-analytics-bootstrap,106,48
/awslabs/aws-security-analytics-bootstrap/pulls,64,12
/awslabs/aws-security-analytics-bootstrap/issues,53,8
/awslabs/aws-security-analytics-bootstrap/actions,14,5
/awslabs/aws-security-analytics-bootstrap/activity,9,5
/awslabs/aws-security-analytics-bootstrap/tree/main/AWSSecurityAnalyticsBootstrap/amazon_security_lake_queries,7,7
/awslabs/aws-security-analytics-bootstrap/blob/main/AWSSecurityAnalyticsBootstrap/amazon_security_lake_queries/ocsf/amazon_security_lake_queries_all.md,7,6
/awslabs/aws-security-analytics-bootstrap/tree/main/AWSSecurityAnalyticsBootstrap/amazon_security_lake_queries/ocsf,7,5
/awslabs/aws-security-analytics-bootstrap/blob/main/AWSSecurityAnalyticsBootstrap/sql/ddl/create_tables/create_dnsquerylog_table.sql,6,5
/awslabs/aws-security-analytics-bootstrap/tree/main/AWSSecurityAnalyticsBootstrap,6,5
