url_path,views_total,views_unique
/awslabs/aws-security-analytics-bootstrap,177,93
/awslabs/aws-security-analytics-bootstrap/blob/main/AWSSecurityAnalyticsBootstrap/cfn/Athena_infra_setup.yml,100,12
/awslabs/aws-security-analytics-bootstrap/blob/main/README.md,63,10
/awslabs/aws-security-analytics-bootstrap/issues,63,6
/awslabs/aws-security-analytics-bootstrap/blob/main/AWSSecurityAnalyticsBootstrap/docs/aws_security_analytics_bootstrap_deployment_guide.md,62,11
/awslabs/aws-security-analytics-bootstrap/blob/main/CHANGELOG.md,44,3
/awslabs/aws-security-analytics-bootstrap/blob/main/CODE_OF_CONDUCT.md,44,3
/awslabs/aws-security-analytics-bootstrap/blob/main/CONTRIBUTING.md,44,3
/awslabs/aws-security-analytics-bootstrap/tree/main/AWSSecurityAnalyticsBootstrap/amazon_security_lake_queries,40,14
/awslabs/aws-security-analytics-bootstrap/blob/main/AWSSecurityAnalyticsBootstrap/sql/dml/analytics/cloudtrail/cloudtrail_demo_queries.sql,35,11
