url_path,views_total,views_unique
/awslabs/aws-security-analytics-bootstrap,133,44
/awslabs/aws-security-analytics-bootstrap/issues,41,12
/awslabs/aws-security-analytics-bootstrap/pulls,39,10
/awslabs/aws-security-analytics-bootstrap/actions,30,2
/awslabs/aws-security-analytics-bootstrap/pull/15,18,3
/awslabs/aws-security-analytics-bootstrap/tree/main/AWSSecurityAnalyticsBootstrap/amazon_security_lake_queries,14,8
/awslabs/aws-security-analytics-bootstrap/activity,14,2
/awslabs/aws-security-analytics-bootstrap/blob/main/AWSSecurityAnalyticsBootstrap/docs/img/architecture/SingleAccount.png,10,5
/awslabs/aws-security-analytics-bootstrap/blob/main/LICENSE,10,5
/awslabs/aws-security-analytics-bootstrap/commit/f226382a3a6a2643241648dc8803606838950ec0,10,4
