time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-23 00:00:00+00:00,4,4,52,10
2025-03-24 00:00:00+00:00,9,6,30,15
2025-03-25 00:00:00+00:00,8,5,28,14
2025-03-26 00:00:00+00:00,10,7,21,15
2025-03-27 00:00:00+00:00,7,4,32,21
2025-03-28 00:00:00+00:00,8,5,17,7
2025-03-29 00:00:00+00:00,12,6,12,5
2025-03-30 00:00:00+00:00,4,4,77,10
2025-03-31 00:00:00+00:00,9,7,16,11
2025-04-01 00:00:00+00:00,7,7,32,15
2025-04-02 00:00:00+00:00,4,4,68,19
2025-04-03 00:00:00+00:00,6,5,26,16
2025-04-04 00:00:00+00:00,4,4,35,15
2025-04-05 00:00:00+00:00,2,2,15,6
